category,indicator,direction,log_transform,country,dist_type,param1,param2,param3
C1 Water mix,Desalination dependency (%),+,False,Bahrain,rel,36.34,0.25,
C1 Water mix,Desalination dependency (%),+,False,Kuwait,rel,43.15,0.15,
C1 Water mix,Desalination dependency (%),+,False,Qatar,rel,37.44,0.15,
C1 Water mix,Desalination dependency (%),+,False,Oman,rel,18.79,0.15,
C1 Water mix,Desalination dependency (%),+,False,UAE,rel,26.25,0.15,
C1 Water mix,Desalination dependency (%),+,False,Saudi Arabia,rel,10.31,0.15,
C1 Water mix,Wastewater reuse (%),-,False,Bahrain,uni,1.94,7.12,
C1 Water mix,Wastewater reuse (%),-,False,Kuwait,uni,2.61,12.21,
C1 Water mix,Wastewater reuse (%),-,False,Qatar,uni,4.69,10.58,
C1 Water mix,Wastewater reuse (%),-,False,Oman,uni,4.73,7.09,
C1 Water mix,Wastewater reuse (%),-,False,UAE,uni,1.13,7.64,
C1 Water mix,Wastewater reuse (%),-,False,Saudi Arabia,uni,1.52,9.51,
C1 Water mix,Groundwater share (%),-,False,Bahrain,rel,59.6,0.1,
C1 Water mix,Groundwater share (%),-,False,Kuwait,rel,72.89,0.1,
C1 Water mix,Groundwater share (%),-,False,Qatar,rel,51.97,0.1,
C1 Water mix,Groundwater share (%),-,False,Oman,rel,81.29,0.1,
C1 Water mix,Groundwater share (%),-,False,UAE,rel,64.14,0.1,
C1 Water mix,Groundwater share (%),-,False,Saudi Arabia,rel,90.98,0.1,
C2 Geography,Number of major plants,-,True,Bahrain,rel,6,0.15,
C2 Geography,Number of major plants,-,True,Kuwait,rel,7,0.15,
C2 Geography,Number of major plants,-,True,Qatar,rel,7,0.15,
C2 Geography,Number of major plants,-,True,Oman,rel,13,0.15,
C2 Geography,Number of major plants,-,True,UAE,rel,70,0.15,
C2 Geography,Number of major plants,-,True,Saudi Arabia,rel,33,0.15,
C2 Geography,Single-coast capacity (%),+,False,Bahrain,pt,100,,
C2 Geography,Single-coast capacity (%),+,False,Kuwait,pt,100,,
C2 Geography,Single-coast capacity (%),+,False,Qatar,pt,100,,
C2 Geography,Single-coast capacity (%),+,False,Oman,pt,100,,
C2 Geography,Single-coast capacity (%),+,False,UAE,tri,60,70,80
C2 Geography,Single-coast capacity (%),+,False,Saudi Arabia,tri,55,65,75
C3 Energy,Cogeneration share (%),+,False,Bahrain,uni,80,100,
C3 Energy,Cogeneration share (%),+,False,Kuwait,uni,80,100,
C3 Energy,Cogeneration share (%),+,False,Qatar,rel,100,0.02,
C3 Energy,Cogeneration share (%),+,False,Oman,rel,14.07,0.2,
C3 Energy,Cogeneration share (%),+,False,UAE,rel,81.12,0.1,
C3 Energy,Cogeneration share (%),+,False,Saudi Arabia,uni,80,100,
C3 Energy,Electricity share to desal (%),+,False,Bahrain,rel,8,0.15,
C3 Energy,Electricity share to desal (%),+,False,Kuwait,rel,8,0.15,
C3 Energy,Electricity share to desal (%),+,False,Qatar,rel,13,0.15,
C3 Energy,Electricity share to desal (%),+,False,Oman,rel,8,0.15,
C3 Energy,Electricity share to desal (%),+,False,UAE,rel,20,0.15,
C3 Energy,Electricity share to desal (%),+,False,Saudi Arabia,rel,7,0.15,
C4 Reserves,Reserve days,-,True,Bahrain,uni,1,2,
C4 Reserves,Reserve days,-,True,Kuwait,tri,2,3,4
C4 Reserves,Reserve days,-,True,Qatar,tri,5,7,9
C4 Reserves,Reserve days,-,True,Oman,uni,5,10,
C4 Reserves,Reserve days,-,True,UAE,tri,80,90,95
C4 Reserves,Reserve days,-,True,Saudi Arabia,uni,5,10,
C5 Population,Pop. served by largest plant (M),+,False,Bahrain,rel,0.85,0.15,
C5 Population,Pop. served by largest plant (M),+,False,Kuwait,rel,1.7,0.15,
C5 Population,Pop. served by largest plant (M),+,False,Qatar,rel,1.8,0.15,
C5 Population,Pop. served by largest plant (M),+,False,Oman,rel,1.0,0.2,
C5 Population,Pop. served by largest plant (M),+,False,UAE,rel,4.5,0.15,
C5 Population,Pop. served by largest plant (M),+,False,Saudi Arabia,rel,3.5,0.15,
C5 Population,Desal-dependent population (M),+,True,Bahrain,rel,1.44,0.1,
C5 Population,Desal-dependent population (M),+,True,Kuwait,rel,4.59,0.1,
C5 Population,Desal-dependent population (M),+,True,Qatar,rel,3.17,0.1,
C5 Population,Desal-dependent population (M),+,True,Oman,rel,4.04,0.1,
C5 Population,Desal-dependent population (M),+,True,UAE,rel,4.86,0.1,
C5 Population,Desal-dependent population (M),+,True,Saudi Arabia,rel,25.9,0.1,
C6 Redundancy,Plants for >50% loss,-,False,Bahrain,rel,2,0.1,
C6 Redundancy,Plants for >50% loss,-,False,Kuwait,uni,3,4,
C6 Redundancy,Plants for >50% loss,-,False,Qatar,rel,2,0.1,
C6 Redundancy,Plants for >50% loss,-,False,Oman,uni,3,4,
C6 Redundancy,Plants for >50% loss,-,False,UAE,tri,5,5,6
C6 Redundancy,Plants for >50% loss,-,False,Saudi Arabia,tri,5,6,7
C6 Redundancy,Largest-plant share (%),+,False,Bahrain,rel,47.8,0.1,
C6 Redundancy,Largest-plant share (%),+,False,Kuwait,rel,15.7,0.1,
C6 Redundancy,Largest-plant share (%),+,False,Qatar,rel,36.8,0.1,
C6 Redundancy,Largest-plant share (%),+,False,Oman,rel,16.8,0.1,
C6 Redundancy,Largest-plant share (%),+,False,UAE,rel,12.0,0.1,
C6 Redundancy,Largest-plant share (%),+,False,Saudi Arabia,rel,18.5,0.1,
C7 Trajectory,"Trajectory (expert, 1-7)",score,False,Bahrain,norm,1,0.6,
C7 Trajectory,"Trajectory (expert, 1-7)",score,False,Kuwait,norm,1,0.6,
C7 Trajectory,"Trajectory (expert, 1-7)",score,False,Qatar,norm,3,0.6,
C7 Trajectory,"Trajectory (expert, 1-7)",score,False,Oman,norm,1,0.6,
C7 Trajectory,"Trajectory (expert, 1-7)",score,False,UAE,norm,4,0.6,
C7 Trajectory,"Trajectory (expert, 1-7)",score,False,Saudi Arabia,norm,7,0.6,
